name,ip_address
SSU 2000,172.28.157.49
CISCO Router,172.28.157.126
RAU,172.28.157.111
DCD,172.28.157.81
OSP Main,172.28.157.1
OSP Spare,172.28.157.8
DCN SWITCH,172.28.157.115
VOIP Phone 1,172.28.157.100
VOIP phone 2,172.28.157.101
TEMS CLIENT_A,172.28.157.30
TEMS CLIENT_B,172.28.157.31
PFE - CMP1,172.28.157.70
VPN BOX,172.28.157.74
AISLive Digi Converter,41.75.88.34
VPN Connectivity (Vodafone alt link),41.66.205.252
XTERA SERVER,192.168.18.234
XTERA SERVER,192.168.130.131
Tyco Accra OOB,41.66.205.252